id,year,long,lat,treated_unit,treat_year,treated_id,ras_108,ras_240,ras_372,ras_504,ras_636,meanWI
1425342368,2011,34.1867722,0.6621759,1,1,1,-0.791374546,-1.063205582,-1.488503844,-1.088732597,-0.696733655,-1.025710045
1425342368,2012,34.1867722,0.6621759,1,1,1,-0.760248621,-0.996621181,-1.082898558,-0.347563721,-0.490314929,-0.735529402
1425342368,2013,34.1867722,0.6621759,1,1,1,-0.234746587,-0.546326724,-0.233309993,-0.228215972,-0.038733251,-0.256266506
1425342368,2014,34.1867722,0.6621759,1,1,1,-0.500933671,-0.41618723,-0.276579361,-0.424732149,-0.129855316,-0.349657545
1425342368,2015,34.1867722,0.6621759,1,1,1,-0.545765652,-0.380490083,-0.25995731,-0.043401699,-0.058751686,-0.257673286
1425342368,2016,34.1867722,0.6621759,1,1,1,-0.239518076,-0.369521067,-0.28091833,-0.515198754,-0.215547833,-0.324140812
1426281191,2006,34.1950973,0.6691354,1,0,0,-0.019553684,-0.134871212,-0.02686762,-0.593109239,-0.490049523,-0.252890256
1426281191,2007,34.1950973,0.6691354,1,0,0,-0.136455199,-0.23450132,-0.156646249,-0.709648577,-0.586138855,-0.36467804
1426281191,2008,34.1950973,0.6691354,1,0,0,-0.249828295,-0.166888774,0.051527487,-0.148562323,-0.35698604,-0.174147589
1426281191,2009,34.1950973,0.6691354,1,0,0,-0.004585863,-0.137930075,-0.066542473,-0.470844931,-0.520483548,-0.240077378
1426281191,2010,34.1950973,0.6691354,1,0,0,0.144295341,-0.046356192,0.042111976,-0.3291623,-0.401577652,-0.118137765
1426281191,2011,34.1950973,0.6691354,1,1,1,0.005729467,-0.097451114,-0.006193854,-0.341375573,-0.315174391,-0.150893093
1426281191,2012,34.1950973,0.6691354,1,1,1,0.024251739,-0.050804044,0.152772902,-0.228482688,-0.277854869,-0.076023392
1426281191,2013,34.1950973,0.6691354,1,1,1,0.246656758,0.058589643,-0.002699034,-0.200462201,-0.608867798,-0.101356526
1426281191,2014,34.1950973,0.6691354,1,1,1,0.373059916,0.321009709,0.291855162,-0.119218764,-0.389380392,0.095465126
1426281191,2015,34.1950973,0.6691354,1,1,1,0.183252315,0.42667863,0.205317696,-0.165479742,-0.361373389,0.057679102
1426281191,2016,34.1950973,0.6691354,1,1,1,0.692546343,0.706009977,0.57896918,0.060463499,0.068241083,0.421246016
1427239073,2006,34.1899784,0.6911657,1,0,0,-0.019553684,-0.134871212,-0.02686762,-0.593109239,-0.490049523,-0.252890256
1427239073,2007,34.1899784,0.6911657,1,0,0,-0.136455199,-0.23450132,-0.156646249,-0.709648577,-0.586138855,-0.36467804
1427239073,2008,34.1899784,0.6911657,1,0,0,-0.249828295,-0.166888774,0.051527487,-0.148562323,-0.35698604,-0.174147589
1427239073,2009,34.1899784,0.6911657,1,0,0,-0.004585863,-0.137930075,-0.066542473,-0.470844931,-0.520483548,-0.240077378
1427239073,2010,34.1899784,0.6911657,1,0,0,0.144295341,-0.046356192,0.042111976,-0.3291623,-0.401577652,-0.118137765
1427239073,2011,34.1899784,0.6911657,1,1,1,0.005729467,-0.097451114,-0.006193854,-0.341375573,-0.315174391,-0.150893093
1427239073,2012,34.1899784,0.6911657,1,1,1,0.024251739,-0.050804044,0.152772902,-0.228482688,-0.277854869,-0.076023392
1427239073,2013,34.1899784,0.6911657,1,1,1,0.246656758,0.058589643,-0.002699034,-0.200462201,-0.608867798,-0.101356526
1427239073,2014,34.1899784,0.6911657,1,1,1,0.373059916,0.321009709,0.291855162,-0.119218764,-0.389380392,0.095465126
1427239073,2015,34.1899784,0.6911657,1,1,1,0.183252315,0.42667863,0.205317696,-0.165479742,-0.361373389,0.057679102
1427239073,2016,34.1899784,0.6911657,1,1,1,0.692546343,0.706009977,0.57896918,0.060463499,0.068241083,0.421246016
1428136103,2006,33.9770985,0.6188471,1,0,0,-1.888530981,-2.01190219,-1.489566379,-1.455843889,-1.645583079,-1.698285303
1428136103,2007,33.9770985,0.6188471,1,0,0,-1.502887313,-2.018636652,-1.490417885,-1.156999033,-1.624699188,-1.558728014
1428136103,2008,33.9770985,0.6188471,1,0,0,-1.397431623,-1.927491623,-0.932998172,-0.57619852,-1.601334951,-1.287090978
1428136103,2009,33.9770985,0.6188471,1,0,0,-1.895510981,-2.016364523,-1.213494103,-1.121752757,-1.754297725,-1.600284018
1428136103,2010,33.9770985,0.6188471,1,0,0,-1.557586699,-1.930992115,-1.568444161,-1.363821031,-1.529072917,-1.589983385
1428136103,2011,33.9770985,0.6188471,1,1,1,-2.198308273,-2.357444197,-1.797905514,-1.981402272,-1.865561735,-2.040124398
1428136103,2012,33.9770985,0.6188471,1,1,1,-1.814183102,-1.927956821,-1.742753723,-1.506364158,-1.67155311,-1.732562183
1428136103,2013,33.9770985,0.6188471,1,1,1,-1.277349418,-1.701256387,-0.70522397,-0.690136087,-0.914157489,-1.05762467
1428136103,2014,33.9770985,0.6188471,1,1,1,-1.582330278,-1.720730372,-1.012368219,-0.978848378,-1.300657221,-1.318986894
1428136103,2015,33.9770985,0.6188471,1,1,1,-2.055502667,-1.955246591,-1.143260152,-0.83544235,-1.098865452,-1.417663442
1428136103,2016,33.9770985,0.6188471,1,1,1,-0.883231652,-1.393797201,-1.190990794,-1.317831234,-1.520248161,-1.261219808
1428136109,2006,34.0757704,0.6082761,1,0,0,-1.719605144,-1.743212162,-1.663539984,-2.016200074,-1.57405077,-1.743321627
1428136109,2007,34.0757704,0.6082761,1,0,0,-1.652927116,-1.510718902,-1.357264783,-1.769883838,-1.505258272,-1.559210582
1428136109,2008,34.0757704,0.6082761,1,0,0,-1.535473835,-1.375361726,-1.032281387,-1.238958602,-1.632677034,-1.362950517
1428136109,2009,34.0757704,0.6082761,1,0,0,-1.727165301,-1.748262837,-1.460281299,-1.855420808,-1.63807458,-1.685840965
1428136109,2010,34.0757704,0.6082761,1,0,0,-1.697975468,-1.329128164,-1.147106268,-1.423331571,-1.120628666,-1.343634028
1428136109,2011,34.0757704,0.6082761,1,1,1,-1.612737493,-1.408006177,-1.448662667,-1.386704626,-1.191142534,-1.409450699
1428136109,2012,34.0757704,0.6082761,1,1,1,-1.050551757,-1.290734463,-0.880229286,-1.011742563,-0.914267586,-1.029505131
1428136109,2013,34.0757704,0.6082761,1,1,1,-0.761939081,-1.004803346,-0.733163167,-0.656528206,-0.461335623,-0.723553885
1428136109,2014,34.0757704,0.6082761,1,1,1,-0.774623993,-0.782720889,-0.60458991,-0.9259473,-0.587081919,-0.734992802
1428136109,2015,34.0757704,0.6082761,1,1,1,-1.007607597,-0.955138778,-0.792878973,-0.651306514,-0.402126325,-0.761811637
1428136109,2016,34.0757704,0.6082761,1,1,1,-0.947937358,-0.22934257,-0.710826674,-0.937526021,-0.66507658,-0.698141841
1430275363,2006,34.2629562,0.6407313,1,0,0,0.655182522,0.809114091,0.845450742,0.748514915,0.591404006,0.729933255
1430275363,2007,34.2629562,0.6407313,1,0,0,0.69107969,0.933439177,0.839980817,0.762783587,0.631379993,0.771732653
1430275363,2008,34.2629562,0.6407313,1,0,0,0.88935175,1.00361387,1.089797181,0.961841511,0.697870566,0.928494976
1430275363,2009,34.2629562,0.6407313,1,0,0,0.887430896,0.956840448,0.979809058,0.892676242,0.693408801,0.882033089
1430275363,2010,34.2629562,0.6407313,1,0,0,0.947737081,1.057908248,0.984277222,0.807409835,0.853556233,0.930177724
1430275363,2011,34.2629562,0.6407313,1,1,1,0.868717075,0.974466032,0.942857705,0.850140176,0.696672122,0.866570622
1430275363,2012,34.2629562,0.6407313,1,1,1,0.818153881,0.951017934,0.962827961,0.829904,0.746206029,0.861621961
1430275363,2013,34.2629562,0.6407313,1,1,1,1.264633919,1.031513751,1.17994493,1.159149318,1.294082234,1.18586483
1430275363,2014,34.2629562,0.6407313,1,1,1,1.370043132,1.022488562,1.193553053,1.096712766,1.292111909,1.194981884
1430275363,2015,34.2629562,0.6407313,1,1,1,1.272302344,1.04038819,1.165821975,1.223904292,1.284162881,1.197315936
1430275363,2016,34.2629562,0.6407313,1,1,1,1.42198881,1.195748737,1.125371684,1.121394437,1.177760686,1.208452871
1430827930,2006,34.0052183,0.597647,1,0,0,-1.931307251,-2.172995516,-2.001066826,-1.850280436,-1.852930954,-1.961716197
1430827930,2007,34.0052183,0.597647,1,0,0,-1.870526239,-2.321167687,-1.662346286,-1.850278714,-1.988652246,-1.938594234
1430827930,2008,34.0052183,0.597647,1,0,0,-1.558866189,-2.183281341,-1.621376615,-1.362438279,-2.014786158,-1.748149716
1430827930,2009,34.0052183,0.597647,1,0,0,-2.275279931,-2.227621854,-1.811528445,-2.104929127,-1.940715207,-2.072014913
