"DHSID","pred","zero","one","three","five","seven"
"BJ201700000538",-0.383717938124935,-0.345694452524,-0.347324073315,-0.577510356903,-0.633560478687,-0.703397333622
"BJ201700000539",-0.757748355107002,-1.18239581585,-1.24268591404,-1.37592661381,-1.69533991814,-1.88611412048
"BJ201700000540",-1.14299216323937,-1.26464474201,-1.42573463917,-1.50539851189,-1.66635322571,-1.78953075409
"BJ201700000541",0.359356004794159,0.164226219058,-0.0996233597398,-0.122539922595,-0.103531651199,-0.260892033577
"BJ201700000542",-0.409727028003814,-1.36929237843,-1.06676757336,-1.65962934494,-1.90838384628,-1.46611571312
"BJ201700000543",0.695750935750386,0.809994518757,0.693418264389,0.776488959789,1.32725727558,1.21722900867
"BJ201700000544",0.118356417631628,-0.945183992386,-1.06620967388,-1.00187933445,-1.13675832748,-0.824194908142
"BJ201700000545",0.285880751242083,-0.487110048532,0.083500482142,0.183328792453,-0.409702509642,-0.226703926921
"BJ201700000546",0.451399780983587,1.14433050156,1.02550935745,1.16381287575,1.7093859911,1.62246453762
"BJ201700000547",0.469518013886417,-0.801450252533,-0.201515361667,-0.437526553869,-0.83233910799,-0.589804291725
"BJ201700000548",-0.413599199704751,-0.153929591179,0.196113273501,-0.163766339421,-0.289738476276,0.0802060812712
"BJ201700000549",0.0723722714528963,0.0337962545455,0.0240333583206,-0.00241696322337,-0.15775886178,0.0421841964126
"BJ201700000550",-0.251392035395561,-1.20399618149,-0.983164727688,-0.69899982214,-1.17914414406,-1.40306961536
"BJ201700000551",0.772480113278344,0.823395848274,0.388836562634,1.16176366806,0.497138679028,0.882750570774
"BJ201700000552",-0.325655736534297,-0.683618307114,-1.61248970032,-1.00111150742,-1.33321225643,-1.19254529476
"BJ201700000553",-0.437812647999511,-0.937995135784,-1.92885577679,-1.18202888966,-1.87256240845,-1.91742682457
"BJ201700000554",-0.609028137126909,-0.887773573399,-0.307660877705,-0.354851722717,-0.384129375219,-0.464171677828
"BJ201700000555",1.64146379968516,0.924745678902,0.904191732407,0.451362371445,0.326060801744,0.74287801981
"BU201000000001",0.792472388578897,2.41212487221,2.84736657143,2.88340258598,3.18942284584,3.1837284565
"BU201000000002",-1.49687076072949,-1.28981161118,-1.12511384487,-1.05551946163,-1.2165722847,-1.42160761356
"BU201000000003",-0.563044218873296,-1.24665522575,-1.06723630428,-1.56044816971,-1.29657018185,-2.24219226837
"BU201000000004",-1.14686155823463,-1.28202533722,-2.10336494446,-2.05521154404,-2.4537627697,-2.1896378994
"BU201000000005",-1.49749526940333,-1.69071125984,-1.86232352257,-2.01585531235,-2.33554959297,-2.54685926437
"BU201000000006",-0.306205178600838,-0.0882924720645,0.357675611973,-0.75401288271,-0.24692158401,-0.0691820457578
"BU201000000007",-1.69867327468287,-0.978918433189,-1.6286072731,-1.41231608391,-0.839916884899,-0.45633533597
"BU201000000008",-0.942297715020744,-1.10021841526,-1.01949453354,-1.16888153553,-1.1489161253,-1.35003566742
"BU201000000009",-1.41188774540403,-0.774046957493,-1.17133307457,-0.849303543568,-0.28269559145,-0.681103587151
"BU201000000010",-0.565518408053621,-1.21523690224,-1.19023621082,-1.32872354984,-1.23313975334,-1.21684491634
"BU201000000011",0.665977190976365,0.555020451546,1.37319850922,0.89904999733,1.41666615009,1.29805874825
"BU201000000012",-0.198828236425777,-1.07577550411,-1.8025482893,-1.53568530083,-1.60356223583,-1.86069858074
"BU201000000013",-1.30331609405249,-1.00550496578,-0.935155749321,-0.864163577557,-0.734916627407,-1.5091688633
"BU201000000014",-0.998305695830486,-1.16312360764,-1.59091663361,-1.76861143112,-1.76200067997,-1.76644992828
"BU201000000015",-1.13171475523723,-0.786343157291,-0.548605263233,-0.266915529966,-0.547442793846,0.00504906661808
"BU201000000016",2.78241246541442,1.30874824524,1.59996306896,2.04643249512,2.20773458481,2.39491271973
"BU201000000017",-0.654604500954,-0.966978788376,-0.550013303757,-0.920828998089,-0.646549701691,-0.693951487541
"BU201000000018",-1.3753691821025,-1.32683944702,-1.86736690998,-1.99120151997,-1.81480240822,-2.54737210274
"BU201000000019",0.380983930129149,1.02784240246,0.70936447382,0.890473127365,1.00406146049,1.18504059315
"BU201000000020",-0.7805601789124,-0.941281139851,-1.10728168488,-1.19387197495,-0.860813617706,-1.44097292423
"BU201000000021",2.89059921255333,0.216810956597,0.475086033344,-0.159016937017,-0.430772185326,-0.118586435914
"BU201000000022",-1.89838567380479,-0.731179535389,-0.557667195797,-0.330283343792,-0.265947312117,0.0346221923828
"BU201000000023",-2.04139379550923,-1.04837012291,-1.40558683872,-1.39395046234,-1.28960049152,-1.57225382328
"BU201000000024",-1.07389527198709,-1.18587553501,-1.09262132645,-1.48628270626,-1.71972155571,-1.59941244125
"BU201000000025",-1.11544930723,-0.974324047565,-1.17325174809,-1.47944819927,-1.14300000668,-1.34885823727
"BU201000000026",-0.988788196836769,-1.1110509634,-1.26084423065,-1.33168125153,-1.15400314331,-1.52897500992
"BU201000000027",-0.395337148733523,-1.1902449131,-1.48895847797,-2.02576160431,-1.67690563202,-1.74611032009
"BU201000000028",-0.683550459051121,-0.0920676961541,-0.761283755302,-0.597941339016,-0.356152832508,-0.224974691868
"BU201000000029",-0.516529755467874,-0.961327910423,-1.20231890678,-1.01525211334,-1.17917358875,-1.3514636755
"BU201000000030",-0.0166915913963089,-0.9895414114,-0.980903148651,-1.13162088394,-1.22556006908,-0.904250979424
"BU201000000031",-1.76628444764417,-1.18384337425,-1.59953033924,-1.76307630539,-1.79759263992,-2.05427241325
"BU201000000032",-0.880751304095282,-1.08535885811,-1.85861253738,-1.07795929909,-1.59055244923,-1.36215674877
"BU201000000033",0.29099209496019,1.86011505127,1.92475903034,2.38377213478,2.88172745705,2.6474070549
"BU201000000034",-0.952436272586479,-1.15605580807,-1.82473838329,-1.61629199982,-1.42441093922,-1.03542029858
"BU201000000035",-0.864819140463725,1.41379141808,0.993393003941,1.43057584763,1.56919574738,1.56317543983
