"row_num","DHSID","lat","long","treated"
"184","UG200600000209","3.496369","34.096601",0
"185","UG200600000210","3.604766","34.171469",0
"186","UG200600000211","3.076433","34.137493",0
"187","UG200600000212","3.015269","34.052179",0
"189","UG200600000214","2.360987","34.480236",0
"190","UG200600000215","2.430398","34.818582",0
"191","UG200600000217","2.372209","34.625214",0
"192","UG200600000218","3.754023","34.15108",0
"193","UG200600000219","3.676606","33.974129",0
"194","UG200600000220","3.518569","33.653924",0
"195","UG200600000221","3.309948","33.941025",0
"196","UG200600000222","3.520205","34.093082",0
"197","UG200600000223","3.170265","33.973986",0
"198","UG200600000224","2.994726","34.197369",0
"199","UG200600000225","3.062646","34.151222",0
"200","UG200600000226","2.669283","33.5424",0
"201","UG200600000227","2.056192","34.264066",0
"202","UG200600000228","2.339923","34.507236",0
"203","UG200600000229","2.492365","34.710199",0
"204","UG200600000230","2.744885","34.490509",0
"206","UG200600000232","2.041839","34.489529",0
"207","UG200600000233","1.62876","34.962487",0
"208","UG200600000234","2.272056","34.506186",0
"213","UG200600000239","3.121108","30.855592",0
"214","UG200600000240","3.037779","30.958023",0
"217","UG200600000245","3.213354","31.011545",0
"218","UG200600000248","3.349622","31.039126",0
"219","UG200600000249","3.102444","31.010209",0
"220","UG200600000250","3.215393","31.008862",0
"221","UG200600000251","3.303199","31.180027",0
"222","UG200600000252","3.242779","31.165954",0
"223","UG200600000253","2.864443","31.019673",0
"224","UG200600000254","2.718581","31.012334",0
"227","UG200600000257","3.67807","31.82452",0
"228","UG200600000258","2.36467","30.915763",0
"229","UG200600000259","2.553886","30.935024",0
"232","UG200600000262","3.230073","31.394285",0
"238","UG200600000269","1.368878","31.447512",0
"244","UG200600000276","0.600154","30.159562",0
"245","UG200600000277","0.053623","29.776521",0
"246","UG200600000278","-0.001015","29.736805",0
"247","UG200600000279","0.092526","29.754539",0
"249","UG200600000281","0.385052","30.137784",0
"251","UG200600000283","1.02338","31.18397",0
"254","UG200600000286","1.021127","30.565279",0
"255","UG200600000287","0.943702","31.10625",0
"257","UG200600000289","2.110045","31.499274",0
