"lat","long","change"
1.933333,32.866667,-0.986399362
1.933333,32.9,-0.986399362
-1.063056,29.740556,-0.983740438
3.25,33.366667,-0.983675986
-0.483333,30.966667,-0.980360663
1.416667,33.216667,-0.97974649
2.9,33.266667,-0.97174545
1.1,32.166667,-0.969994184
2.833056,33.34,-0.969972241
-0.1,31.833333,-0.962999926
-0.066667,31.866667,-0.962999926
-0.113056,31.853889,-0.962999926
-0.1,31.85,-0.962999926
1.6,32.616667,-0.962787382
3.6479557,33.5668515,-0.961310056
3.6500001,33.5333328,-0.961310056
3.65,33.566667,-0.961310056
3.6497328,33.533333,-0.961310056
1.65,32.666667,-0.958577489
3.294444,33.568889,-0.957165064
2.053283,32.386471,-0.955822479
3.6893605,33.8230243,-0.952177002
1.745869,32.415481,-0.946731774
1.700219,32.396305,-0.946731774
1.726071,32.387863,-0.946731774
1.283333,33.316667,-0.934815313
1.3,33.3,-0.934815313
2.35,33.783333,-0.932872624
1.533333,32.583333,-0.931747775
1.542054,32.338129,-0.931441833
1.518834,32.341932,-0.931441833
1.556913,32.346943,-0.931441833
1.313056,32.8675,-0.924179895
1.3,32.866667,-0.924179895
1.283333,32.883333,-0.924179895
1.6,32.65,-0.919121316
1.601389,32.645833,-0.919121316
3.005098,31.383669,-0.913065427
2.97523,31.357868,-0.913065427
2.974151,31.37734,-0.913065427
3.018279,31.407463,-0.913065427
3.004217,31.401744,-0.913065427
2.984932,31.357923,-0.913065427
2.972786,31.396332,-0.913065427
1.775833,32.660833,-0.910861477
1.736127,32.213657,-0.908795032
2.15,33.783333,-0.906740525
2.166667,33.816667,-0.906740525
-0.600556,31.042222,-0.902831132
3.6183056,33.5393889,-0.902714534
3.6106389,33.5426667,-0.902714534
3.6198849,33.5319214,-0.902714534
1.55,33.2,-0.901069783
1.55,33.166667,-0.901069783
1.95,33.916667,-0.900896338
1.95,33.933333,-0.900896338
1.983333,33.95,-0.900896338
-1.164444,30.058889,-0.892988228
-1.175278,30.046667,-0.892988228
-1.164722,30.037778,-0.892988228
-1.209722,30.06,-0.892988228
1.266667,32.616667,-0.890719571
1.25,32.566667,-0.890719571
-0.9858312,29.6164406,-0.885181517
-0.9842263,29.6165278,-0.885181517
-0.9876099,29.616151,-0.885181517
-0.3915062,32.259392,-0.884606533
-0.366667,32.266667,-0.884606533
