"DHSID","year","lat","long","base","base_w_elec","no_elec_no_app","elec_no_app","n"
"TZ201500000208",2015,-10.947416,34.993334,2.08581902564052,2.30740264384822,2.20664358416494,2.42539055578758,20
"TZ201500000209",2015,-11.065488,34.836979,-0.195778751776638,-0.450020044213709,0.304492115040215,-0.0216187558608618,20
"TZ201500000210",2015,-10.935122,34.762416,0.124681014005336,-0.15436241564793,0.687040422421676,0.330506485397015,22
"TZ201500000211",2015,-10.821451,34.870159,-0.46736714771462,-0.697856030939455,-0.0876993835028556,-0.377773475090944,21
"TZ201500000212",2015,-10.682704,35.631835,1.74545202576931,1.9085388549088,1.94625725826031,2.09061753545037,20
"TZ201500000213",2015,-10.689176,35.632805,0.786895533165928,0.697730067980421,1.15769674684577,1.02238108764944,22
"TZ201500000214",2015,-10.651938,35.654484,1.76610393150439,1.98294631279961,1.94931069134883,2.15368163566089,21
"TZ201500000215",2015,-10.442193,36.116005,0.784386223071069,0.578568472179615,1.25074229440828,0.980311129401666,21
"TZ201500000216",2015,-10.519176,36.157693,-0.500617360437863,-0.7211293869474,-0.23807404768672,-0.496079968673562,21
"TZ201500000217",2015,-10.543561,35.838112,-0.102037643669212,-0.359105296162744,0.292217166763902,-0.0257698139561883,22
"TZ201500000218",2015,-10.520284,35.691752,0.404728603149796,0.109288423386903,0.741433541966284,0.380178907603669,21
"TZ201500000219",2015,-11.250596,34.978604,-0.56541935492709,-0.791900767816927,-0.151728071630778,-0.440428469175147,22
"TZ201500000220",2015,-10.649262,34.744502,-1.03979979985741,-1.22474742844568,-0.747910812012975,-0.975514385807787,18
"TZ201500000221",2015,-7.624516,35.620011,-0.264835581335491,-0.42760950736368,0.194506947028817,-0.0207096933937428,21
"TZ201500000222",2015,-7.989318,35.696767,-0.812595337111006,-1.00888159841639,-0.54462481995427,-0.777385488686647,22
"TZ201500000223",2015,-8.029692,35.30082,-0.334347423017214,-0.573304961594566,0.0210732350333003,-0.265572910288664,21
"TZ201500000224",2015,-7.287349,35.494484,-1.17826790449869,-1.33565589759108,-1.11511400564337,-1.27395860965246,21
"TZ201500000225",2015,-7.846941,35.788677,-0.590278065229044,-0.724366215480365,-0.274547128500565,-0.442656340620999,22
"TZ201500000226",2015,-8.749135,35.225801,-0.109378947102529,-0.367638914939052,0.283910411199837,-0.0373240004770014,21
"TZ201500000227",2015,-8.588167,35.151123,1.07533186993254,1.15636577812145,1.32315843454503,1.37151968627189,22
"TZ201500000228",2015,-8.685917,34.927271,-0.121628431411244,-0.294305946454178,0.312074244164773,0.0870853966390418,21
"TZ201500000229",2015,-8.297536,35.021865,-0.485543507210057,-0.715054796687303,-0.0693736527771791,-0.356845663565173,20
"TZ201500000230",2015,-8.248201,35.460093,-0.899822570696282,-1.09468826421954,-0.584491341616203,-0.822876411160093,20
"TZ201500000231",2015,-8.342775,35.818185,-0.708957206120776,-0.921179154848445,-0.326895173844757,-0.595498641228535,22
"TZ201500000232",2015,-7.747101,35.711098,1.68025959695563,1.82722237016484,1.7331175213668,1.86987123034042,21
"TZ201500000233",2015,-7.785327,35.700875,2.09134680641171,2.35866494471314,2.05436170432753,2.32883606328521,20
"TZ201500000234",2015,-7.752693,35.687136,2.48873301824066,2.64988618187285,2.05568851333517,2.24775198488857,21
"TZ201500000235",2015,-7.714054,35.847937,0.547166833027161,0.528084190276304,0.971115585476378,0.909069809598253,21
"TZ201500000236",2015,-7.980491,35.869263,1.02092571596917,1.01818299444313,1.45163687718444,1.40892619441269,20
"TZ201500000237",2015,-8.162285,35.971543,-1.6760982773337,-1.80368989013788,-1.56030097005429,-1.70126032190216,20
"TZ201500000238",2015,-7.730716,35.889925,-0.506811372823015,-0.636161440778209,-0.169806372618569,-0.336231915565058,19
"TZ201500000239",2015,-7.677957,36.045823,1.42699776924546,1.74818228352449,1.49473148759503,1.82433920216625,20
"TZ201500000240",2015,-8.291186,35.306461,1.64683761139089,2.07424225612053,1.72335380081212,2.16178767613103,20
"TZ201500000241",2015,-8.046694,33.219542,-0.173326453973204,-0.423054234459425,0.191873282713188,-0.11454814914085,20
"TZ201500000242",2015,-8.445961,33.008562,0.577169319440846,0.429048097831337,1.06395437990473,0.855252890101964,21
"TZ201500000243",2015,-8.227237,33.264655,0.380334832720638,0.205252774779036,0.712975714504527,0.487625064699598,22
"TZ201500000244",2015,-8.99186,33.452672,-0.325534100718122,-0.523976447380275,0.128302712321495,-0.126252503989231,21
"TZ201500000245",2015,-8.797746,33.503419,-0.479821938453013,-0.706277157851214,-0.174439622391518,-0.45069176151352,21
"TZ201500000246",2015,-9.473875,33.890297,-0.0215562135066185,-0.283564522281322,0.482078452263767,0.156857796758633,21
"TZ201500000247",2015,-9.607482,33.862968,1.34742448143915,1.38476040092786,1.59752408555559,1.60736963191404,19
"TZ201500000248",2015,-9.329726,33.895632,-0.925520413242581,-1.1121057502367,-0.622138246507978,-0.845571924074188,19
"TZ201500000249",2015,-9.188313,33.515829,0.0326838281671684,-0.239878222114416,0.467825144157393,0.121906077335336,20
"TZ201500000250",2015,-9.522775,33.523967,-0.831042411806982,-1.03617450436999,-0.47783043955423,-0.737108612498106,20
"TZ201500000251",2015,-8.892716,32.725995,-0.215748246502553,-0.462537062189099,0.258211308198781,-0.0507431334568422,21
"TZ201500000252",2015,-8.933396,33.082291,-0.471339512198995,-0.705769334439267,-0.0362193310203311,-0.335719864011853,22
"TZ201500000253",2015,-9.223772,32.873811,-0.0954687784600961,-0.19809954184093,0.206726298291992,0.0597105650017131,22
"TZ201500000254",2015,-9.127607,32.941136,0.900626147490238,0.933687410152216,1.06598772604921,1.07059412238783,21
"TZ201500000255",2015,-8.771441,33.810699,-1.31151872355229,-1.47470672876462,-1.11234386551485,-1.30228063740587,20
"TZ201500000256",2015,-8.8923,33.456683,4.48826378410053,4.66059028663318,3.21994484898352,3.51455514395168,18
"TZ201500000257",2015,-8.912017,33.489798,2.36635548113437,2.60796912460498,2.12218806331281,2.39748125796468,21
"TZ201500000258",2015,-8.905013,33.460376,0.914265147010007,0.78203395438497,1.47572693949424,1.27913767117079,21
"TZ201500000259",2015,-8.562752,32.396496,-1.06381569126284,-1.23881948241998,-0.79783641588251,-1.00409540836387,21
"TZ201500000260",2015,-9.253999,32.843002,1.02878587407406,1.09119109477941,1.36514144643338,1.3899247250344,19
"TZ201500000261",2015,-4.498281,34.265322,-1.00109498181999,-1.18508836196066,-0.727119728985273,-0.945098389377891,20
"TZ201500000262",2015,-4.116973,34.334237,-0.406703198425336,-0.637403923445383,-0.0981795784661367,-0.376249589439301,22
"TZ201500000263",2015,-4.388628,34.40247,0.67917258445974,0.6072913775493,0.870217749269566,0.768951417751511,21
"TZ201500000264",2015,-4.479062,34.908211,-0.293648935125558,-0.534550672335397,0.0938598803216885,-0.200245431725351,21
"TZ201500000265",2015,-4.739876,34.998867,-0.953463533341055,-1.13663516051814,-0.716321772607837,-0.93132327867571,21
"TZ201500000266",2015,-4.685185,34.808948,-0.593837399121549,-0.808723505027462,-0.213562373167642,-0.47629937245436,21
"TZ201500000267",2015,-4.626022,34.683489,-0.857202223876563,-1.05124695423744,-0.596438279552443,-0.827073277797816,22
"TZ201500000268",2015,-5.744125,34.832534,1.52899512215892,1.87958201560692,1.51854132933421,1.88430218659907,19
"TZ201500000269",2015,-6.079163,35.009759,-0.945925996273714,-1.12715758818886,-0.740073553795502,-0.942757235694609,22
"TZ201500000270",2015,-6.423468,35.106308,-1.30327616587678,-1.45871782547696,-1.0942991695477,-1.27397041724641,17
"TZ201500000271",2015,-5.57782,35.061936,-1.23210851384505,-1.39008242431396,-1.01765579435191,-1.19699883027483,22
"TZ201500000272",2015,-4.715809,34.792325,-0.143629812185948,-0.393474198487544,0.28663394762858,-0.0209675648186232,22
"TZ201500000273",2015,-4.78944,34.761954,1.32676765340917,1.47243051963333,1.76061822527511,1.88102002748606,20
"TZ201500000274",2015,-4.822108,34.737328,2.83771164003837,3.11797260953118,2.29346154202123,2.62625037783724,18
"TZ201500000275",2015,-5.044326,34.735216,-0.336973379035362,-0.571622355879099,0.00851218323983735,-0.279321782788563,22
"TZ201500000276",2015,-4.959496,34.861242,1.07019814288309,1.23342562138838,1.3312378205733,1.48234708940485,20
"TZ201500000277",2015,-5.199368,34.867439,-0.847845042063957,-1.0393186710101,-0.590881538311028,-0.815752418031712,22
"TZ201500000278",2015,-5.07104,34.692889,0.224757553711811,0.0607699445785369,0.586345511509059,0.370443602950321,22
"TZ201500000279",2015,-4.816594,34.53582,-0.731036818247254,-0.932025775827238,-0.405648860716818,-0.642634911030808,21
"TZ201500000280",2015,-4.286903,34.777533,-0.152440922020496,-0.403141851711415,0.232697222828482,-0.0763287369923023,22
"TZ201500000281",2015,-4.356257,34.74078,0.142608275963515,-0.134111419340644,0.544991430869004,0.200155551715764,21
"TZ201500000282",2015,-4.72337,33.152195,-0.801181595817305,-0.963068406633837,-0.478670404722213,-0.677194282182827,22
"TZ201500000283",2015,-4.129829,33.346758,-1.43350710284643,-1.58697123156786,-1.22856637934094,-1.4141129293707,21
"TZ201500000284",2015,-4.057035,33.16144,-0.738083444743801,-0.940908249929179,-0.404021660740516,-0.646553776777282,22
"TZ201500000285",2015,-4.288775,32.956737,-1.18705760604721,-1.34956956199146,-0.969442708788684,-1.15291788710967,22
"TZ201500000286",2015,-4.293252,33.876199,1.9933207596535,2.12405530659518,1.85520750825533,1.99760818050945,22
